EngagementNumber	StartDate	EndDate	StartTime	StopTime	ContractPrice	CustomerID	AgentID	EntertainerID
1	1999-07-01	1999-07-04	13:00	15:00	$170,00	10014	1	1009
2	1999-07-01	1999-07-05	13:00	15:00	$200,00	10006	4	1004
3	1999-07-10	1999-07-15	13:00	15:00	$590,00	10001	3	1005
4	1999-07-11	1999-07-17	20:00	00:00	$470,00	10007	3	1004
5	1999-07-11	1999-07-14	16:00	19:00	$1.130,00	10006	5	1003
6	1999-07-10	1999-07-14	15:00	21:00	$2.300,00	10014	7	1008
7	1999-07-11	1999-07-18	17:00	20:00	$770,00	10004	4	1002
8	1999-07-18	1999-07-25	20:00	23:00	$1.850,00	10006	3	1007
9	1999-07-18	1999-07-28	19:00	21:00	$1.370,00	10010	2	1010
10	1999-07-17	1999-07-26	13:00	17:00	$3.650,00	10005	3	1003
11	1999-07-15	1999-07-16	18:00	00:00	$950,00	10005	4	1008
12	1999-07-18	1999-07-26	18:00	22:00	$1.670,00	10014	8	1001
13	1999-07-17	1999-07-20	20:00	23:00	$770,00	10003	1	1006
14	1999-07-24	1999-07-29	16:00	22:00	$2.750,00	10001	1	1008
15	1999-07-24	1999-07-29	17:00	19:00	$770,00	10007	1	1013
16	1999-08-01	1999-08-05	20:00	01:00	$1.550,00	10010	5	1013
17	1999-07-29	1999-08-01	18:00	20:00	$530,00	10002	8	1010
18	1999-07-29	1999-08-04	17:00	22:00	$575,00	10006	4	1009
19	1999-07-29	1999-08-04	20:00	23:00	$365,00	10009	8	1004
20	1999-07-31	1999-08-04	18:00	20:00	$800,00	10008	4	1007
21	1999-07-30	1999-08-02	12:00	16:00	$1.490,00	10005	1	1003
22	1999-07-30	1999-08-04	12:00	15:00	$590,00	10004	5	1002
23	1999-07-30	1999-07-30	20:00	00:00	$290,00	10012	4	1013
24	1999-07-31	1999-08-06	12:00	18:00	$1.940,00	10001	4	1001
25	1999-07-31	1999-08-07	19:00	21:00	$1.010,00	10011	4	1006
26	1999-08-08	1999-08-13	17:00	22:00	$950,00	10001	6	1002
27	1999-08-06	1999-08-11	12:00	16:00	$2.210,00	10015	7	1003
28	1999-08-05	1999-08-14	17:00	22:00	$3.800,00	10003	4	1007
29	1999-08-08	1999-08-10	18:00	00:00	$320,00	10011	4	1011
30	1999-08-05	1999-08-07	17:00	22:00	$275,00	10009	5	1011
31	1999-08-06	1999-08-15	16:00	20:00	$2.450,00	10002	8	1010
32	1999-08-06	1999-08-15	13:00	15:00	$1.250,00	10010	7	1013
33	1999-08-14	1999-08-19	17:00	20:00	$1.670,00	10008	1	1003
34	1999-08-13	1999-08-19	16:00	18:00	$680,00	10004	8	1005
35	1999-08-13	1999-08-14	19:00	23:00	$410,00	10005	8	1001
36	1999-08-12	1999-08-22	18:00	22:00	$710,00	10014	3	1011
37	1999-08-12	1999-08-18	14:00	19:00	$2.675,00	10006	3	1008
38	1999-08-13	1999-08-17	14:00	20:00	$1.850,00	10013	4	1006
39	1999-08-20	1999-08-24	16:00	19:00	$950,00	10008	7	1006
40	1999-08-20	1999-08-29	16:00	18:00	$1.250,00	10011	1	1010
41	1999-08-19	1999-08-27	18:00	21:00	$860,00	10013	3	1002
42	1999-08-19	1999-08-25	17:00	22:00	$2.150,00	10002	1	1013
43	1999-08-20	1999-08-20	14:00	16:00	$140,00	10001	8	1001
44	1999-08-21	1999-08-25	14:00	19:00	$1.925,00	10006	3	1008
45	1999-08-20	1999-08-27	14:00	18:00	$530,00	10015	1	1012
46	1999-08-27	1999-09-04	15:00	17:00	$1.400,00	10009	4	1008
47	1999-09-04	1999-09-12	18:00	20:00	$1.130,00	10008	2	1010
48	1999-09-04	1999-09-05	16:00	22:00	$950,00	10002	1	1007
